Repository,Repository URL,File Path,Bundle,Issue Type,Missing Version On,Status
Main Repository (eclipse.platform.releng),https://github.com/laeubi/eclipse.platform.releng.aggregator,eclipse.platform.releng/bundles/org.eclipse.ant.optional.junit/META-INF/MANIFEST.MF,org.eclipse.ant.optional.junit,Require-Bundle,org.junit,Open
Main Repository (eclipse.platform.releng),https://github.com/laeubi/eclipse.platform.releng.aggregator,eclipse.platform.releng/bundles/org.eclipse.releng.tests/META-INF/MANIFEST.MF,org.eclipse.releng.tests,Require-Bundle,org.junit,Open
Main Repository (eclipse.platform.releng),https://github.com/laeubi/eclipse.platform.releng.aggregator,eclipse.platform.releng/bundles/org.eclipse.test.performance/META-INF/MANIFEST.MF,org.eclipse.test.performance,Import-Package,org.junit.jupiter.api,Open
Main Repository (eclipse.platform.releng),https://github.com/laeubi/eclipse.platform.releng.aggregator,eclipse.platform.releng/bundles/org.eclipse.test.performance/META-INF/MANIFEST.MF,org.eclipse.test.performance,Import-Package,org.junit.platform.suite.api,Open
Main Repository (eclipse.platform.releng),https://github.com/laeubi/eclipse.platform.releng.aggregator,eclipse.platform.releng/bundles/org.eclipse.test.performance/META-INF/MANIFEST.MF,org.eclipse.test.performance,Require-Bundle,org.junit,Open
Main Repository (eclipse.platform.releng),https://github.com/laeubi/eclipse.platform.releng.aggregator,eclipse.platform.releng/bundles/org.eclipse.test/META-INF/MANIFEST.MF,org.eclipse.test,Import-Package,org.junit.jupiter.api,Open
Main Repository (eclipse.platform.releng),https://github.com/laeubi/eclipse.platform.releng.aggregator,eclipse.platform.releng/bundles/org.eclipse.test/META-INF/MANIFEST.MF,org.eclipse.test,Import-Package,org.junit.platform.engine,Open
Main Repository (eclipse.platform.releng),https://github.com/laeubi/eclipse.platform.releng.aggregator,eclipse.platform.releng/bundles/org.eclipse.test/META-INF/MANIFEST.MF,org.eclipse.test,Import-Package,org.junit.platform.engine.discovery,Open
Main Repository (eclipse.platform.releng),https://github.com/laeubi/eclipse.platform.releng.aggregator,eclipse.platform.releng/bundles/org.eclipse.test/META-INF/MANIFEST.MF,org.eclipse.test,Import-Package,org.junit.platform.engine.reporting,Open
Main Repository (eclipse.platform.releng),https://github.com/laeubi/eclipse.platform.releng.aggregator,eclipse.platform.releng/bundles/org.eclipse.test/META-INF/MANIFEST.MF,org.eclipse.test,Import-Package,org.junit.platform.engine.support.descriptor,Open
Main Repository (eclipse.platform.releng),https://github.com/laeubi/eclipse.platform.releng.aggregator,eclipse.platform.releng/bundles/org.eclipse.test/META-INF/MANIFEST.MF,org.eclipse.test,Import-Package,org.junit.platform.launcher,Open
Main Repository (eclipse.platform.releng),https://github.com/laeubi/eclipse.platform.releng.aggregator,eclipse.platform.releng/bundles/org.eclipse.test/META-INF/MANIFEST.MF,org.eclipse.test,Import-Package,org.junit.platform.launcher.core,Open
Main Repository (eclipse.platform.releng),https://github.com/laeubi/eclipse.platform.releng.aggregator,eclipse.platform.releng/bundles/org.eclipse.test/META-INF/MANIFEST.MF,org.eclipse.test,Import-Package,org.junit.platform.commons,Open
Main Repository (eclipse.platform.releng),https://github.com/laeubi/eclipse.platform.releng.aggregator,eclipse.platform.releng/bundles/org.eclipse.test/META-INF/MANIFEST.MF,org.eclipse.test,Import-Package,org.junit.jupiter.engine,Open
Main Repository (eclipse.platform.releng),https://github.com/laeubi/eclipse.platform.releng.aggregator,eclipse.platform.releng/bundles/org.eclipse.test/META-INF/MANIFEST.MF,org.eclipse.test,Require-Bundle,org.junit,Open
eclipse.jdt.core,https://github.com/eclipse-jdt/eclipse.jdt.core,eclipse.jdt.core/org.eclipse.jdt.apt.pluggable.tests/META-INF/MANIFEST.MF,org.eclipse.jdt.apt.pluggable.tests,Require-Bundle,org.junit,Open
eclipse.jdt.core,https://github.com/eclipse-jdt/eclipse.jdt.core,eclipse.jdt.core/org.eclipse.jdt.apt.tests/META-INF/MANIFEST.MF,org.eclipse.jdt.apt.tests,Require-Bundle,org.junit,Open
eclipse.jdt.core,https://github.com/eclipse-jdt/eclipse.jdt.core,eclipse.jdt.core/org.eclipse.jdt.compiler.apt.tests/META-INF/MANIFEST.MF,org.eclipse.jdt.compiler.apt.tests,Require-Bundle,org.junit,Open
eclipse.jdt.core,https://github.com/eclipse-jdt/eclipse.jdt.core,eclipse.jdt.core/org.eclipse.jdt.compiler.tool.tests/META-INF/MANIFEST.MF,org.eclipse.jdt.compiler.tool.tests,Require-Bundle,org.junit,Open
eclipse.jdt.debug,https://github.com/eclipse-jdt/eclipse.jdt.debug,eclipse.jdt.debug/org.eclipse.jdt.debug.jdi.tests/META-INF/MANIFEST.MF,org.eclipse.jdt.debug.jdi.tests,Require-Bundle,org.junit,Open
eclipse.jdt.debug,https://github.com/eclipse-jdt/eclipse.jdt.debug,eclipse.jdt.debug/org.eclipse.jdt.debug.tests/META-INF/MANIFEST.MF,org.eclipse.jdt.debug.tests,Require-Bundle,org.junit,Open
eclipse.jdt.ui,https://github.com/eclipse-jdt/eclipse.jdt.ui,eclipse.jdt.ui/org.eclipse.jdt.text.tests/META-INF/MANIFEST.MF,org.eclipse.jdt.text.tests,Import-Package,org.junit.jupiter.api,Open
eclipse.jdt.ui,https://github.com/eclipse-jdt/eclipse.jdt.ui,eclipse.jdt.ui/org.eclipse.jdt.text.tests/META-INF/MANIFEST.MF,org.eclipse.jdt.text.tests,Import-Package,org.junit.jupiter.api.extension,Open
